book_id,title,authors,language_code,average_rating,ratings_count
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,eng,3.79,1447148
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",eng,4.54,1678823
7624,Lord of the Flies,William Golding,eng,3.64,1605019
18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",eng,3.73,1628519
8442457,Gone Girl,Gillian Flynn,eng,4.03,512475
4667024,The Help,Kathryn Stockett,eng,4.45,1531753
890,Of Mice and Men,John Steinbeck,eng,3.84,1467496
930,Memoirs of a Geisha,Arthur Golden,eng,4.08,1300209
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,eng,3.67,1338493
865,The Alchemist,"Paulo Coelho, Alan R. Clarke",eng,3.82,1299566
3636,"The Giver (The Giver, #1)",Lois Lowry,eng,4.12,1296825
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,eng,4.19,1531800
14050,The Time Traveler's Wife,Audrey Niffenegger,eng,3.95,746287
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,eng,4.45,1319204
19501,"Eat, Pray, Love",Elizabeth Gilbert,eng,3.51,1181647
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,eng,4.23,1366265
1934,"Little Women (Little Women, #1)",Louisa May Alcott,en-US,4.04,1257121
10210,Jane Eyre,"Charlotte Brontë, Michael Mason",eng,4.1,1198557
15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,eng,4.06,1053403
4214,Life of Pi,Yann Martel,,3.88,1003228
43641,Water for Elephants,Sara Gruen,eng,4.07,1068146
19063,The Book Thief,Markus Zusak,eng,4.36,1159741
4381,Fahrenheit 451,Ray Bradbury,spa,3.97,570498
49041,"New Moon (Twilight, #2)",Stephenie Meyer,eng,3.52,1149630
30119,Where the Sidewalk Ends,Shel Silverstein,eng,4.29,1016888
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,eng,4.12,1154031
428263,"Eclipse (Twilight, #3)",Stephenie Meyer,en-US,3.69,1134511
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,en-US,3.86,1104021
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,en-US,4.2,936782
5129,Brave New World,Aldous Huxley,eng,3.97,1022601
1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,en-US,3.7,1070245
37435,The Secret Life of Bees,Sue Monk Kidd,en-US,4.01,916189
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",eng,3.8,953758
24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",eng,4.15,1064521
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,eng,3.85,867553
22557272,The Girl on the Train,Paula Hawkins,eng,3.88,1008778
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,eng,3.94,953970
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",eng,3.82,899195
10917,My Sister's Keeper,Jodi Picoult,eng,4.06,863879
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,eng,4.06,846488
18405,Gone with the Wind,Margaret Mitchell,eng,4.28,873981
128029,A Thousand Splendid Suns,Khaled Hosseini,eng,4.34,818742
22628,The Perks of Being a Wallflower,Stephen Chbosky,eng,4.21,888806
11735983,"Insurgent (Divergent, #2)",Veronica Roth,eng,4.07,836362
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,eng,4.3,813439
18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",eng,3.75,808589
11588,The Shining (The Shining #1),Stephen King,eng,4.17,791850
1656001,"The Host (The Host, #1)",Stephenie Meyer,en-US,3.84,749780
99561,Looking for Alaska,John Green,eng,4.09,783470
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,eng,3.75,736498
14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",eng,4.06,738894
38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",eng,3.93,747445
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,eng,3.7,665930
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",eng,3.73,670326
157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",eng,4.28,738757
7445,The Glass Castle,Jeannette Walls,eng,4.24,621099
1845,Into the Wild,Jon Krakauer,eng,3.94,647684
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",eng,3.81,637412
7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,spa,3.96,447833
370493,The Giving Tree,Shel Silverstein,eng,4.38,702332
32542,A Time to Kill,John Grisham,eng,4.03,597775
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",eng,4.3,691231
6442769,Paper Towns,John Green,en-US,3.88,461311
21787,The Princess Bride ,William Goldman,en-US,4.25,628637
231804,The Outsiders,S.E. Hinton,en-US,4.06,659248
6186357,"The Maze Runner (Maze Runner, #1)",James Dashner,eng,4.02,719925
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",en-US,3.93,524191
2998,The Secret Garden,Frances Hodgson Burnett,eng,4.12,639357
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",eng,4.04,490565
5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",eng,4.06,590014
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,eng,3.88,387290
17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",eng,3.98,618973
5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",eng,4.22,563994
11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,eng,3.87,552059
7244,The Poisonwood Bible,Barbara Kingsolver,eng,4.02,546502
4137,Me Talk Pretty One Day,David Sedaris,eng,3.97,495736
19543,Where the Wild Things Are,Maurice Sendak,eng,4.22,620618
7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",eng,4.21,555822
6288,The Road,Cormac McCarthy,eng,3.95,504793
18710190,"Allegiant (Divergent, #3)",Veronica Roth,eng,3.63,463257
9418327,Bossypants,Tina Fey,eng,3.94,506250
3473,A Walk to Remember,Nicholas Sparks,en-US,4.15,546948
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,eng,3.61,543658
24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",eng,4.14,513407
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,eng,4.4,523303
10441,The Memory Keeper's Daughter,Kim Edwards,eng,3.64,501430
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,eng,4.27,587647
168668,Catch-22,Joseph Heller,en-US,3.98,563265
6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",eng,4.06,556518
2187,Middlesex,Jeffrey Eugenides,en-US,3.98,488243
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",eng,3.89,555359
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,en-US,4.04,615907
7763,The Joy Luck Club,Amy Tan,eng,3.9,515090
38447,The Handmaid's Tale,Margaret Atwood,eng,4.06,607889
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,eng,3.75,525706
7604,Lolita,"Vladimir Nabokov, Craig Raine",eng,3.88,469836
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",eng,3.52,506900
5358,"The Firm (Penguin Readers, Level 5)",John Grisham,eng,3.99,488269
7937843,Room,Emma Donoghue,eng,4.03,511360
1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",eng,4.0,515820
234225,Dune (Dune Chronicles #1),Frank Herbert,eng,4.19,485032
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,eng,3.92,490504
11084145,Steve Jobs,Walter Isaacson,eng,4.09,560715
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,eng,4.18,491642
2165,The Old Man and the Sea,Ernest Hemingway,eng,3.73,520630
4395,The Grapes of Wrath,John Steinbeck,eng,3.92,322321
3431,The Five People You Meet in Heaven,Mitch Albom,,3.9,449501
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,eng,4.23,502247
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,en-US,4.34,593173
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,eng,4.54,469022
137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,en-US,3.79,465676
10964,"Outlander (Outlander, #1)",Diana Gabaldon,eng,4.2,515547
12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",eng,3.37,509883
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,en-US,3.89,613674
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",en-US,4.2,443951
18007564,The Martian,Andy Weir,eng,4.39,423344
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,eng,4.29,462517
18143977,All the Light We Cannot See,Anthony Doerr,eng,4.31,470001
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,eng,4.4,487775
976,Deception Point,Dan Brown,eng,3.67,455610
17333223,The Goldfinch,Donna Tartt,eng,3.87,396756
1217100,Thirteen Reasons Why,Jay Asher,eng,4.02,463783
2865,Girl with a Pearl Earring,Tracy Chevalier,eng,3.85,467577
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,en-US,3.96,503527
4989,The Red Tent,Anita Diamant,en-US,4.16,424981
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,eng,4.23,514932
5526,Dear John,Nicholas Sparks,en-US,4.01,441062
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,eng,4.21,541117
8852,Macbeth,William Shakespeare,eng,3.88,496018
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,en-US,4.42,480446
42156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,eng,3.83,403601
23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור",en-US,4.29,457475
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",eng,4.1,453959
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,eng,4.39,508214
2623,Great Expectations,Charles Dickens,eng,3.75,459247
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,en-US,4.51,463959
49552,The Stranger,"Albert Camus, Matthew    Ward",eng,3.96,420600
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,eng,4.35,271576
15745753,Eleanor & Park,Rainbow Rowell,eng,4.11,514312
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,en-US,4.1,428186
7735333,"Matched (Matched, #1)",Ally Condie,eng,3.68,511815
4407,"American Gods (American Gods, #1)",Neil Gaiman,eng,4.11,378019
149267,The Stand,"Stephen King, Bernie Wrightson",en-US,4.34,438832
6400090,The Last Song,Nicholas Sparks,en-GB,4.14,424637
11125,Digital Fortress,Dan Brown,en-GB,3.6,423019
6969,Emma,"Jane Austen, Fiona Stafford",eng,3.99,459826
15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",eng,4.02,297472
227463,A Clockwork Orange,Anthony Burgess,eng,3.98,431195
1812457,The Shack,William Paul Young,eng,3.74,419539
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,eng,4.5,397500
18342,It,Stephen King,en-US,4.18,292592
7144,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",eng,4.18,380903
6514,The Bell Jar,Sylvia Plath,en-US,3.98,401605
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,eng,4.07,392103
52036,Siddhartha,"Hermann Hesse, Hilda Rosner",eng,3.99,372099
168642,In Cold Blood,Truman Capote,eng,4.05,381652
6304335,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",eng,3.76,436093
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,eng,4.33,490890
39988,Matilda,"Roald Dahl, Quentin Blake",eng,4.29,440743
9361589,The Night Circus,Erin Morgenstern,eng,4.03,429543
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,eng,4.04,381080
24770,"Uglies (Uglies, #1)",Scott Westerfeld,eng,3.86,449073
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,eng,4.31,365954
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,eng,4.47,389054
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,eng,3.96,379872
472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",en-US,4.35,398018
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,eng,4.55,400101
3228917,Outliers: The Story of Success,Malcolm Gladwell,en-US,4.11,353011
153747,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",eng,3.46,358050
2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",eng,4.12,393626
5759,Fight Club,Chuck Palahniuk,eng,4.2,365349
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,en-US,3.96,420764
11486,The Color Purple,Alice Walker,eng,4.17,376766
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,eng,4.12,367304
16299,And Then There Were None,Agatha Christie,eng,4.23,408983
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,eng,3.66,369428
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,en-US,4.0,448166
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,eng,4.15,418309
5326,A Christmas Carol,Charles Dickens,,4.02,394540
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,eng,3.97,372566
10507293,"The Selection (The Selection, #1)",Kiera Cass,en-US,4.15,505340
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,en-US,4.03,391007
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,eng,4.04,377249
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,eng,4.14,351107
345627,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,en-US,4.14,248283
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,en-US,3.89,348196
6867,Atonement,Ian McEwan,eng,3.88,347006
485894,The Metamorphosis,"Franz Kafka, Stanley Corngold",eng,3.78,364933
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,eng,4.33,446668
9969571,Ready Player One,Ernest Cline,eng,4.31,349423
3153910,The Art of Racing in the Rain,Garth Stein,eng,4.19,327409
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",eng,3.98,309385
13572249,"Bared to You (Crossfire, #1)",Sylvia Day,eng,4.19,222678
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",eng,4.24,376385
3609760,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,en-US,4.23,291411
60748,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,eng,4.08,311543
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,eng,3.98,327122
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,eng,3.82,386923
6487308,"Fallen (Fallen, #1)",Lauren Kate,en-US,3.74,395296
4406,East of Eden,John Steinbeck,eng,4.35,320919
5886881,Dark Places,Gillian Flynn,eng,3.92,333452
5359,The Client,John Grisham,eng,3.97,320083
228333,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",eng,3.4,323762
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",eng,4.06,340920
2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",eng,4.13,365425
556602,Sarah's Key,Tatiana de Rosnay,eng,4.14,312444
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,en-US,3.99,332494
9712,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",eng,3.89,283806
439288,Speak,Laurie Halse Anderson,eng,4.0,360156
17802724,The Husband's Secret,Liane Moriarty,eng,3.92,232106
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,en-US,4.11,291258
10592,Carrie,Stephen King,,3.93,356814
242006,Running with Scissors,Augusten Burroughs,en-US,3.7,293878
8908,World War Z: An Oral History of the Zombie War,Max Brooks,en-US,4.01,312969
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,eng,3.8,287533
47281,Number the Stars,Lois Lowry,eng,4.11,333638
13145,"Along Came a Spider (Alex Cross, #1)",James Patterson,eng,4.08,311499
10614,Misery,Stephen King,en-GB,4.11,334647
66559,Sharp Objects,Gillian Flynn,en-US,3.92,207889
2839,Bridge to Terabithia,Katherine Paterson,eng,3.98,337644
30183,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",en-US,3.79,360044
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,en-US,4.05,314700
1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",eng,3.94,334241
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,en-US,3.97,294726
11387515,Wonder,R.J. Palacio,eng,4.43,228538
233093,The Cat in the Hat,Dr. Seuss,eng,4.15,314016
11235712,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,eng,4.15,427663
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",en-US,3.83,297712
6068551,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,eng,3.78,356625
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",eng,3.68,283295
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",en-US,3.64,283516
13023,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",eng,4.03,343252
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",eng,4.24,263685
7631105,"The Scorch Trials (Maze Runner, #2)",James Dashner,eng,3.93,305643
4865,How to Win Friends and Influence People,Dale Carnegie,eng,4.13,282623
480479,Under the Tuscan Sun,Frances Mayes,eng,3.72,279264
19486412,Big Little Lies,Liane Moriarty,eng,4.2,306186
24337,Ella Enchanted,Gail Carson Levine,eng,3.97,339117
3876,The Sun Also Rises,Ernest Hemingway,en-US,3.83,284988
14891,A Tree Grows in Brooklyn,Betty  Smith,eng,4.24,291909
13148,"Kiss the Girls (Alex Cross, #2)",James Patterson,eng,3.93,274639
21853621,The Nightingale,Kristin Hannah,eng,4.54,253606
6334,Never Let Me Go,Kazuo Ishiguro,eng,3.8,294123
366522,P.S. I Love You,Cecelia Ahern,en-US,4.01,262921
12873,Rebecca,"Daphne du Maurier, Sally Beauman",en-US,4.2,177384
18373,Flowers for Algernon,Daniel Keyes,en-US,4.07,313044
6952,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",en-US,3.94,263199
1103,Snow Flower and the Secret Fan,Lisa See,eng,4.05,280475
22034,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",eng,4.36,256480
49750,An Abundance of Katherines,John Green,eng,3.63,312754
29579,Foundation (Foundation #1),Isaac Asimov,eng,4.13,279688
15783514,The Ocean at the End of the Lane,Neil Gaiman,eng,3.99,293844
30118,A Light in the Attic,Shel Silverstein,eng,4.34,297861
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",eng,3.75,270603
11614718,"Delirium (Delirium, #1)",Lauren Oliver,eng,3.99,256975
32499,The Pelican Brief,John Grisham,eng,3.95,288376
17061,Coraline,Neil Gaiman,eng,4.03,316379
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",en-US,4.25,298304
70401,On the Road,Jack Kerouac,eng,3.64,246602
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,eng,4.01,251703
3063499,The Lucky One,Nicholas Sparks,en-US,4.1,267166
2122,The Fountainhead,"Ayn Rand, Leonard Peikoff",eng,3.85,244545
19691,"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,,4.01,270318
76620,"Watership Down (Watership Down, #1)",Richard Adams,eng,4.05,292426
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,eng,3.84,290674
3591262,Cutting for Stone,Abraham Verghese,eng,4.28,258319
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",eng,4.08,306492
295,Treasure Island,Robert Louis Stevenson,eng,3.82,268012
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,eng,4.44,299980
10644930,11/22/63,Stephen King,eng,4.29,258464
4948,The Very Hungry Caterpillar Board Book,Eric Carle,eng,4.29,296952
135479,Cat's Cradle,Kurt Vonnegut Jr.,eng,4.18,238940
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",eng,3.87,276076
7933292,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",eng,4.01,228371
39999,The Boy in the Striped Pajamas,John Boyne,eng,4.1,285692
4900,Heart of Darkness,Joseph Conrad,eng,3.42,255576
7812659,Safe Haven,Nicholas Sparks,eng,4.19,255531
52529,"The Secret (The Secret, #1)",Rhonda Byrne,eng,3.62,241537
227711,I Know This Much Is True,Wally Lamb,eng,4.17,246917
10583,Pet Sematary,Stephen King,eng,3.91,256383
5203,She's Come Undone,Wally Lamb,en-US,3.84,259576
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,eng,4.57,245686
33724,Can You Keep a Secret?,Sophie Kinsella,en-US,3.83,278747
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,en-US,4.16,341826
14748,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,en-US,3.7,248804
3412,The Thorn Birds,Colleen McCullough,eng,4.22,255651
2213661,The Graveyard Book,"Neil Gaiman, Dave McKean",en-US,4.12,302303
13158800,The Light Between Oceans,M.L. Stedman,eng,4.0,243526
28194,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",en-US,3.86,285011
4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",eng,3.74,237272
9791,A Walk in the Woods,Bill Bryson,eng,4.05,250192
13214,I Know Why the Caged Bird Sings,Maya Angelou,en-US,4.19,270859
15818107,Orphan Train,Christina Baker Kline,eng,4.14,226091
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,eng,4.3,300553
13526165,"Where'd You Go, Bernadette",Maria Semple,eng,3.9,215453
10365,Where the Red Fern Grows,Wilson Rawls,,4.04,268548
14497,Neverwhere,Neil Gaiman,eng,4.18,268318
9717,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",eng,4.08,205279
16068905,Fangirl,Rainbow Rowell,eng,4.12,340379
4473,A Prayer for Owen Meany,John Irving,eng,4.22,226964
32234,White Oleander,Janet Fitch,eng,3.93,245674
9275658,"Legend (Legend, #1)",Marie Lu,eng,4.19,299998
14866,Nineteen Minutes,Jodi Picoult,eng,4.1,235978
2318271,The Last Lecture,"Randy Pausch, Jeffrey Zaslow",eng,4.25,241869
228665,"The Eye of the World (Wheel of Time, #1)",Robert Jordan,eng,4.18,260184
10916,The Pact,Jodi Picoult,en-US,4.0,221225
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,eng,4.01,268355
2153405,Still Alice,Lisa Genova,eng,4.3,223432
13596809,"Reflected in You (Crossfire, #2)",Sylvia Day,eng,4.33,252564
6689,James and the Giant Peach,"Roald Dahl, Quentin Blake",eng,3.99,270402
13137,"1st to Die (Women's Murder Club, #1)",James Patterson,en-US,4.05,233984
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,eng,4.37,222842
6280118,One Day,David Nicholls,eng,3.77,222926
32929,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",en-US,4.27,244842
7747374,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,en-US,3.94,253437
1371,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",eng,3.83,241088
13497818,The Casual Vacancy,J.K. Rowling,eng,3.28,231835
24192,The Runaway Jury,John Grisham,eng,3.96,222712
4138,Naked,David Sedaris,en-US,4.08,201337
